aX,aY,aZ,gX,gY,gZ
0.219,-4.000,2.346,159.851,353.882,-68.665
2.329,-2.513,4.000,14.160,371.033,-90.332
2.984,-1.061,2.042,-104.309,152.161,-85.205
1.669,-1.132,0.349,-104.553,-25.146,-77.698
0.974,-1.708,-0.230,-81.238,-90.515,-63.599
1.138,-2.056,-0.568,-54.993,-134.583,-35.522
1.181,-2.108,-0.702,-28.320,-159.668,-30.396
0.809,-2.062,-0.677,-4.822,-150.208,-47.974
0.380,-2.228,-0.541,-0.244,-114.075,-51.941
0.022,-2.325,-0.059,-24.597,-57.861,-38.330
-0.273,-2.057,0.529,-51.147,-22.766,-42.786
-0.461,-1.598,0.604,-58.167,-36.865,-50.781
-0.604,-1.629,0.167,-54.810,-52.917,-37.476
-0.611,-1.783,-0.080,-50.903,-24.353,-23.376
-0.295,-1.811,-0.015,-51.758,22.644,-17.578
0.147,-1.799,0.113,-54.138,50.293,-15.015
0.323,-1.670,0.156,-59.937,51.331,-11.658
0.432,-1.576,0.247,-61.890,41.443,-6.042
0.347,-1.315,0.351,-58.167,28.076,-2.991
0.225,-1.179,0.396,-46.265,17.395,6.287
0.094,-1.130,0.339,-31.738,12.878,14.587
0.001,-1.021,0.311,-19.592,16.357,16.113
0.018,-0.969,0.343,-10.620,24.597,10.986
0.096,-0.987,0.277,-4.761,29.846,2.686
0.149,-1.003,0.248,-2.808,33.569,-4.761
0.247,-1.052,0.246,-1.343,35.828,-11.414
0.349,-1.087,0.242,-1.038,34.973,-15.625
0.461,-1.098,0.313,-0.488,30.884,-18.433
0.473,-1.092,0.322,0.000,21.179,-21.790
0.475,-1.083,0.329,2.014,10.559,-24.536
0.452,-1.097,0.394,5.310,0.366,-27.100
0.442,-1.120,0.383,7.935,-11.292,-28.992
0.436,-1.135,0.385,10.925,-23.437,-29.724
0.404,-1.173,0.359,13.733,-36.621,-28.992
0.328,-1.207,0.345,17.090,-49.011,-28.809
0.225,-1.214,0.290,20.447,-59.509,-28.503
0.138,-1.258,0.265,21.606,-64.331,-28.381
0.070,-1.300,0.231,23.254,-66.772,-28.320
0.010,-1.314,0.232,25.330,-65.796,-28.625
-0.040,-1.250,0.228,27.222,-62.500,-28.503
-0.070,-1.169,0.280,26.917,-55.725,-27.039
-0.066,-1.084,0.302,26.001,-48.096,-23.071
-0.071,-1.010,0.324,26.489,-40.283,-19.409
-0.073,-0.962,0.348,27.161,-32.349,-16.113
-0.055,-0.917,0.363,26.550,-25.024,-13.611
-0.014,-0.856,0.377,24.597,-18.677,-11.902
0.020,-0.790,0.393,23.010,-14.160,-10.681
0.037,-0.739,0.410,22.217,-10.254,-9.155
0.027,-0.696,0.393,22.461,-8.972,-6.775
0.020,-0.654,0.378,24.292,-8.728,-3.906
-0.005,-0.681,0.375,26.794,-8.545,-0.732
-0.068,-0.746,0.351,30.151,-9.216,0.671
-0.099,-0.862,0.309,33.630,-8.606,0.366
-0.094,-1.016,0.281,35.522,-3.845,-0.732
-0.055,-1.141,0.284,34.729,2.380,-3.723
0.001,-1.194,0.281,30.457,8.667,-8.240
0.033,-1.223,0.306,25.513,15.625,-11.536
0.029,-1.260,0.363,19.043,23.682,-12.390
-0.004,-1.265,0.444,10.620,30.823,-13.062
-0.020,-1.240,0.515,2.991,38.147,-17.029
0.015,-1.234,0.560,-1.953,39.795,-22.339
0.120,-1.271,0.609,-3.479,33.752,-24.902
0.231,-1.316,0.644,-3.418,19.104,-23.010
0.273,-1.299,0.636,-2.747,-2.869,-15.991
0.248,-1.259,0.603,-0.610,-27.405,-5.005
0.186,-1.180,0.578,1.953,-49.927,7.385
0.151,-1.145,0.548,5.798,-65.063,19.653
0.154,-1.144,0.495,11.169,-73.242,31.067
0.136,-1.116,0.451,15.564,-74.219,41.016
0.086,-1.093,0.420,19.714,-68.542,48.279
0.060,-1.105,0.376,21.606,-56.763,50.781
0.074,-1.117,0.323,18.860,-40.833,48.401
0.089,-1.106,0.274,12.756,-21.729,42.603
