aX,aY,aZ,gX,gY,gZ
0.520,-1.767,0.667,25.574,-28.259,16.907
0.527,-1.951,0.711,31.677,-28.503,14.038
0.531,-2.079,0.746,36.682,-27.466,8.667
0.539,-2.219,0.774,40.466,-24.658,0.854
0.533,-2.326,0.772,42.114,-18.738,-9.094
0.544,-2.404,0.768,39.001,-9.399,-21.179
0.554,-2.411,0.741,28.259,3.357,-34.241
0.550,-2.357,0.696,11.292,20.813,-46.814
0.532,-2.231,0.641,-9.277,42.419,-57.190
0.508,-2.043,0.591,-31.799,67.993,-64.331
0.508,-1.836,0.552,-51.880,95.093,-69.580
0.523,-1.620,0.517,-67.261,121.033,-73.181
0.526,-1.405,0.486,-76.904,144.836,-75.256
0.500,-1.176,0.454,-82.275,164.551,-76.416
0.443,-0.937,0.400,-84.839,180.725,-75.684
0.403,-0.702,0.323,-85.449,192.688,-73.181
0.398,-0.467,0.259,-84.656,201.721,-69.824
0.416,-0.230,0.215,-82.886,206.665,-64.392
0.437,-0.005,0.177,-80.017,204.407,-56.274
0.457,0.184,0.154,-76.111,193.481,-45.959
0.469,0.320,0.141,-70.862,173.767,-34.546
0.455,0.400,0.121,-64.148,147.400,-22.461
0.402,0.437,0.098,-55.359,117.859,-10.803
0.320,0.435,0.069,-45.837,88.867,-0.610
0.227,0.416,0.044,-36.011,63.843,9.094
0.135,0.394,0.037,-26.672,44.556,17.700
0.053,0.354,0.034,-17.700,31.616,24.170
-0.015,0.304,0.030,-10.193,24.536,28.137
-0.044,0.256,0.035,-3.967,22.278,30.823
-0.045,0.208,0.053,1.343,22.583,31.738
-0.018,0.156,0.079,5.676,21.912,29.785
0.043,0.127,0.107,8.667,18.066,25.879
0.100,0.109,0.133,10.620,8.545,22.522
0.137,0.088,0.142,12.268,-5.310,19.348
0.151,0.070,0.140,13.855,-21.606,16.418
0.138,0.050,0.129,15.198,-37.231,13.245
0.117,0.023,0.106,17.090,-49.194,9.155
0.103,-0.014,0.097,19.348,-55.603,3.845
0.111,-0.049,0.110,22.034,-57.007,-2.136
0.136,-0.097,0.131,26.855,-55.115,-6.775
0.170,-0.163,0.164,33.020,-51.331,-10.559
0.228,-0.260,0.210,39.612,-47.241,-12.634
0.295,-0.411,0.272,48.401,-43.274,-12.207
0.339,-0.588,0.328,57.129,-40.588,-8.789
0.358,-0.796,0.377,64.575,-39.490,-2.747
0.365,-1.024,0.436,70.007,-38.757,6.592
0.360,-1.256,0.506,73.059,-37.170,19.287
0.338,-1.474,0.572,72.632,-35.645,32.898
0.319,-1.654,0.608,68.359,-35.583,43.823
0.335,-1.762,0.616,60.303,-36.682,49.744
0.386,-1.859,0.601,51.575,-38.208,49.683
0.441,-2.025,0.609,46.021,-39.551,42.053
0.508,-2.155,0.627,42.297,-40.955,25.452
0.581,-2.108,0.642,37.842,-40.894,2.380
0.626,-1.880,0.668,31.372,-38.879,-21.729
0.633,-1.642,0.685,26.611,-36.377,-43.457
0.636,-1.489,0.668,25.452,-33.691,-58.044
0.599,-1.396,0.630,26.184,-28.381,-65.247
0.541,-1.317,0.581,26.184,-18.921,-68.542
0.509,-1.230,0.535,23.987,-6.042,-68.115
0.490,-1.138,0.501,19.653,10.132,-63.904
0.467,-1.051,0.471,14.709,28.015,-57.251
0.458,-0.983,0.455,10.376,45.715,-49.316
0.457,-0.920,0.449,7.629,60.425,-40.588
0.457,-0.877,0.445,5.554,70.984,-31.860
0.474,-0.844,0.444,3.845,76.233,-23.987
0.504,-0.807,0.445,2.380,74.707,-16.907
0.530,-0.769,0.443,0.854,65.308,-10.620
0.544,-0.737,0.430,-0.671,49.072,-5.554
0.527,-0.710,0.405,-1.526,27.954,-2.563
0.490,-0.687,0.370,-2.380,5.798,-0.427
0.438,-0.670,0.332,-2.625,-14.038,0.549
0.380,-0.666,0.299,-2.014,-30.396,0.549
0.314,-0.666,0.272,-0.488,-41.626,-0.305
0.245,-0.658,0.249,1.831,-48.035,-1.709
0.185,-0.651,0.228,4.700,-49.194,-2.747
0.139,-0.653,0.211,7.996,-44.983,-2.991
0.105,-0.665,0.197,11.353,-36.316,-2.869
0.087,-0.694,0.192,14.893,-24.719,-2.625
0.085,-0.730,0.190,17.883,-11.719,-2.258
0.089,-0.776,0.189,20.020,0.854,-2.625
0.107,-0.844,0.197,22.034,12.939,-3.296
0.132,-0.911,0.217,23.865,22.827,-4.822
0.163,-0.963,0.240,25.818,29.236,-7.935
0.189,-1.010,0.264,28.076,31.738,-12.085
0.204,-1.057,0.279,30.457,31.067,-16.907
0.211,-1.104,0.285,32.471,28.992,-22.278
0.214,-1.133,0.286,33.081,26.123,-27.710
0.216,-1.139,0.279,32.043,23.499,-32.654
0.221,-1.121,0.268,30.640,21.851,-37.354
0.227,-1.095,0.253,28.564,20.996,-41.748
0.235,-1.062,0.242,26.123,21.484,-44.922
0.249,-1.013,0.234,23.499,23.010,-46.692
0.263,-0.962,0.226,20.691,25.330,-46.936
0.273,-0.915,0.215,18.127,28.259,-45.410
0.280,-0.880,0.205,16.479,31.494,-43.030
0.285,-0.871,0.203,15.503,35.278,-39.612
0.290,-0.878,0.207,15.320,38.513,-35.339
0.294,-0.882,0.215,15.442,41.138,-30.884
0.295,-0.887,0.226,15.076,42.542,-26.184
0.292,-0.904,0.235,14.038,42.908,-21.179
0.288,-0.924,0.242,13.184,41.870,-16.357
0.286,-0.941,0.248,11.963,39.612,-11.963
0.282,-0.956,0.251,10.254,36.255,-8.301
0.278,-0.971,0.253,8.850,31.921,-5.615
0.274,-0.984,0.251,6.897,27.466,-3.845
0.269,-0.994,0.246,4.822,22.400,-3.357
0.264,-1.001,0.239,2.563,17.395,-3.235
0.260,-1.014,0.229,0.183,12.756,-3.418
0.254,-1.031,0.221,-2.075,8.728,-3.845
0.246,-1.040,0.211,-3.540,5.615,-4.578
0.240,-1.042,0.201,-5.493,3.662,-4.944
0.234,-1.042,0.193,-6.836,2.808,-5.127
0.227,-1.042,0.182,-7.690,3.296,-5.249
0.222,-1.037,0.174,-8.240,4.822,-5.249
