aX,aY,aZ,gX,gY,gZ
0.483,-0.911,1.145,-1.831,-49.255,-61.096
0.454,-0.989,1.103,-10.498,-48.462,-70.679
0.442,-1.061,1.062,-21.362,-43.823,-81.543
0.464,-1.130,1.018,-33.081,-36.438,-94.116
0.497,-1.189,0.974,-45.044,-26.917,-108.032
0.546,-1.239,0.915,-56.335,-16.235,-122.925
0.618,-1.290,0.852,-65.979,-5.676,-138.000
0.685,-1.337,0.786,-75.928,4.028,-153.809
0.765,-1.363,0.725,-87.036,14.709,-168.884
0.855,-1.383,0.656,-98.999,25.269,-182.312
0.931,-1.407,0.564,-113.281,35.034,-193.542
1.013,-1.422,0.467,-129.883,44.556,-201.538
1.089,-1.406,0.364,-147.949,54.138,-207.153
1.139,-1.358,0.271,-164.856,62.012,-211.609
1.186,-1.303,0.197,-179.321,68.787,-214.294
1.226,-1.238,0.119,-191.040,73.669,-215.759
1.250,-1.171,0.036,-199.951,77.332,-216.919
1.229,-1.109,-0.042,-206.848,81.238,-217.896
1.234,-1.045,-0.123,-213.989,85.754,-219.543
1.271,-0.976,-0.201,-220.520,91.064,-222.656
1.272,-0.888,-0.273,-226.135,95.764,-226.440
1.326,-0.790,-0.335,-229.858,97.107,-231.018
1.411,-0.660,-0.380,-231.934,92.651,-235.352
1.439,-0.545,-0.413,-231.995,83.862,-238.098
1.416,-0.443,-0.454,-231.506,75.928,-239.136
1.382,-0.358,-0.516,-229.370,69.336,-240.112
1.391,-0.309,-0.560,-226.135,66.162,-241.394
1.407,-0.265,-0.606,-224.304,68.848,-243.408
1.396,-0.206,-0.660,-223.755,76.111,-247.742
1.447,-0.152,-0.700,-224.548,87.585,-251.953
1.527,-0.062,-0.735,-227.783,100.769,-252.808
1.586,0.037,-0.770,-230.774,110.535,-250.305
1.607,0.139,-0.795,-232.788,115.906,-244.751
1.597,0.249,-0.807,-232.971,119.080,-236.328
1.605,0.357,-0.800,-229.553,119.385,-225.220
1.609,0.422,-0.783,-222.412,116.028,-212.158
1.535,0.462,-0.760,-213.379,108.276,-197.754
1.453,0.492,-0.708,-204.529,99.121,-183.105
1.437,0.524,-0.648,-195.679,90.271,-169.983
1.470,0.607,-0.613,-187.988,80.627,-161.255
1.475,0.695,-0.566,-179.443,70.374,-152.466
1.456,0.778,-0.483,-168.823,58.105,-141.907
1.504,0.851,-0.388,-156.250,43.945,-128.540
1.519,0.911,-0.306,-142.944,26.184,-112.366
1.450,0.981,-0.204,-129.578,7.324,-98.206
1.401,1.019,-0.112,-116.211,-8.850,-85.876
1.314,1.064,-0.094,-102.295,-22.583,-78.247
1.217,1.098,-0.047,-88.257,-26.794,-70.740
1.199,1.041,-0.016,-74.768,-24.292,-61.768
1.157,1.023,-0.004,-64.636,-18.188,-56.580
1.125,1.015,0.015,-57.129,-7.141,-50.354
1.104,0.998,0.010,-51.270,5.249,-42.297
1.126,0.940,0.028,-46.692,18.372,-32.959
1.191,0.906,0.055,-44.983,29.541,-25.635
1.225,0.892,0.075,-44.678,37.537,-19.226
1.251,0.869,0.088,-44.250,42.908,-11.597
1.298,0.857,0.095,-43.091,44.983,-3.784
1.353,0.854,0.113,-40.894,44.556,4.761
1.380,0.839,0.119,-36.682,40.222,15.259
1.365,0.833,0.113,-30.762,33.081,25.940
1.325,0.766,0.097,-21.973,26.428,37.415
1.337,0.755,0.092,-12.207,21.057,46.570
1.195,0.725,0.021,-0.793,17.029,57.068
1.260,0.656,0.112,12.878,21.118,65.369
1.334,0.625,0.078,25.940,19.470,71.289
1.221,0.537,0.044,40.405,13.184,76.050
1.233,0.535,0.058,53.955,10.864,77.515
1.234,0.489,0.019,70.801,5.859,83.862
1.239,0.432,0.021,86.548,2.197,89.355
1.264,0.375,0.030,100.159,-3.296,96.680
1.236,0.296,0.021,111.816,-11.902,105.225
1.246,0.194,0.046,118.103,-20.447,114.807
1.179,0.097,0.039,119.385,-28.442,125.305
1.137,0.107,0.039,117.554,-33.386,130.737
1.110,0.101,0.040,116.150,-34.607,135.681
1.083,0.096,0.043,115.417,-33.142,138.672
1.063,0.113,0.040,115.234,-29.419,139.465
1.055,0.130,0.034,116.150,-24.475,139.404
1.054,0.151,0.039,118.530,-17.700,139.526
1.115,0.164,0.069,122.070,-12.634,141.296
1.121,0.130,0.051,125.549,-13.000,144.714
1.123,0.151,0.073,128.235,-13.489,147.644
1.148,0.167,0.084,131.470,-15.869,152.527
1.216,0.123,0.125,135.559,-21.912,158.752
1.253,0.120,0.140,139.893,-33.203,162.781
1.242,0.094,0.129,143.555,-48.096,164.734
1.217,0.100,0.132,145.935,-61.646,165.894
1.171,0.079,0.132,149.048,-73.608,169.495
1.113,0.072,0.137,150.818,-81.970,173.462
1.042,0.073,0.134,152.100,-84.717,177.063
1.006,0.046,0.167,154.175,-80.078,180.420
0.976,0.063,0.199,154.968,-72.815,178.894
0.966,0.051,0.225,155.334,-64.697,178.650
0.961,0.009,0.230,155.518,-56.335,177.734
0.904,-0.019,0.212,155.029,-47.913,174.927
0.859,-0.027,0.223,154.602,-36.316,170.532
0.851,-0.051,0.246,154.358,-23.376,165.405
0.842,-0.057,0.276,152.710,-12.146,159.424
0.846,-0.064,0.307,149.292,-4.517,155.701
0.896,-0.069,0.352,146.057,-1.038,152.771
0.938,-0.068,0.385,143.005,-4.333,150.696
0.929,-0.075,0.407,140.625,-14.954,149.475
0.901,-0.074,0.414,138.733,-29.053,148.804
0.856,-0.070,0.419,137.939,-42.358,148.132
0.799,-0.081,0.439,137.756,-53.162,147.156
0.742,-0.056,0.434,137.512,-61.096,146.057
0.711,-0.084,0.451,136.841,-63.354,147.583
0.689,-0.094,0.469,135.498,-61.584,148.071
0.655,-0.105,0.466,133.423,-58.472,146.790
0.634,-0.107,0.477,131.226,-51.392,144.287
0.624,-0.140,0.489,128.967,-41.626,141.479
0.635,-0.152,0.525,125.366,-31.433,136.597
0.668,-0.152,0.560,119.934,-23.865,131.775
0.681,-0.157,0.590,114.868,-20.569,126.160
0.693,-0.147,0.609,110.779,-20.325,119.446
0.693,-0.144,0.620,107.483,-21.729,114.014
0.674,-0.147,0.629,105.713,-23.499,108.948
0.646,-0.149,0.631,104.309,-24.963,104.370
0.615,-0.155,0.619,103.455,-24.109,100.647

1.326,-0.952,-0.353,-279.297,14.160,-228.821
1.354,-0.879,-0.434,-290.649,8.240,-235.840
1.372,-0.781,-0.518,-299.744,1.282,-240.601
1.373,-0.691,-0.602,-306.946,-3.540,-241.638
1.369,-0.597,-0.674,-313.599,-4.211,-241.699
1.393,-0.456,-0.749,-321.167,-0.916,-241.211
1.398,-0.299,-0.846,-326.538,3.113,-238.403
1.401,-0.124,-0.911,-327.026,10.925,-235.535
1.416,0.063,-0.912,-322.021,21.057,-231.567
1.449,0.243,-0.887,-310.730,27.527,-225.403
1.470,0.417,-0.874,-294.189,26.733,-216.736
1.475,0.573,-0.854,-273.376,19.775,-205.872
1.470,0.689,-0.813,-247.864,9.949,-193.237
1.492,0.781,-0.773,-219.177,-1.404,-181.458
1.540,0.872,-0.732,-188.293,-12.451,-172.485
1.575,0.964,-0.671,-155.640,-20.325,-164.734
1.564,1.039,-0.596,-124.695,-24.231,-154.846
1.537,1.096,-0.488,-96.497,-23.010,-141.968
1.509,1.151,-0.364,-70.190,-18.677,-127.258
1.480,1.161,-0.301,-47.119,-12.878,-110.779
1.421,1.134,-0.251,-27.954,-2.441,-95.642
1.421,1.123,-0.150,-13.367,14.343,-81.665
1.511,1.115,-0.025,-1.526,26.672,-68.909
1.488,1.084,0.025,9.827,25.208,-58.289
1.500,1.012,0.098,20.203,17.517,-47.974
1.471,0.943,0.118,28.076,6.653,-39.001
1.405,0.871,0.174,33.630,-0.610,-28.870
1.368,0.811,0.207,37.537,-5.188,-17.944
1.366,0.721,0.233,40.710,-9.155,-7.202
1.304,0.672,0.244,41.565,-11.108,-0.061
1.211,0.681,0.244,40.710,-10.986,6.775
1.228,0.526,0.280,41.138,-10.559,16.663
1.105,0.521,0.231,41.687,-8.667,18.555
1.051,0.518,0.288,42.603,-1.404,21.179
1.084,0.444,0.305,46.265,3.235,25.635
1.099,0.469,0.306,48.889,2.258,26.367
1.045,0.418,0.232,53.711,-0.610,29.907
1.021,0.462,0.225,58.044,0.732,30.151
0.908,0.376,0.093,65.125,4.578,33.569
1.180,0.489,0.373,74.341,14.954,34.790
1.049,0.339,0.157,83.740,1.831,40.771
1.083,0.299,0.250,92.712,0.793,38.086
1.050,0.345,0.161,101.196,-1.892,39.734
1.131,0.275,0.157,113.403,-4.211,46.997
1.095,0.233,0.092,124.756,-8.911,52.917
1.139,0.086,0.134,133.057,-10.315,63.354
1.068,0.071,0.099,133.484,-12.756,69.885
1.109,0.062,0.181,130.737,-8.728,77.393
1.101,0.062,0.147,126.709,-8.240,83.008
1.075,0.040,0.142,123.047,-7.141,87.402
1.068,0.050,0.124,118.713,-4.883,90.942
1.059,0.064,0.095,114.868,-4.578,94.482
1.040,0.066,0.052,112.366,-3.967,97.534
1.029,0.081,0.025,111.633,-2.563,99.976
1.081,0.133,0.051,113.220,0.427,103.149
1.168,0.171,0.085,118.347,-1.526,106.995
1.251,0.171,0.091,125.610,-11.353,109.497
1.221,0.142,0.059,132.690,-24.902,112.427
1.152,0.142,0.062,137.573,-34.607,116.882
1.163,0.117,0.095,141.235,-41.443,122.742
1.165,0.062,0.129,142.639,-48.828,127.258
1.129,0.039,0.149,139.954,-56.274,130.249
1.093,0.051,0.147,133.240,-62.439,133.179
1.050,0.061,0.135,125.671,-65.613,135.742
1.008,0.070,0.124,118.347,-64.392,136.719
0.978,0.104,0.127,112.915,-58.899,135.010
0.962,0.131,0.135,109.680,-50.659,132.690
0.963,0.147,0.141,108.887,-40.894,129.517
0.978,0.160,0.157,110.107,-30.640,126.465
0.991,0.174,0.165,113.037,-20.630,123.413
1.007,0.175,0.174,117.188,-11.230,121.460
1.031,0.155,0.188,122.559,-4.578,121.155
1.059,0.131,0.215,126.953,-0.732,122.192
1.096,0.089,0.235,129.028,0.061,124.084
1.084,0.083,0.237,128.723,-1.099,124.390
1.061,0.062,0.253,127.686,-2.808,124.817
1.043,0.037,0.258,125.305,-6.226,124.817
1.037,0.034,0.298,122.192,-10.254,124.573
1.038,0.027,0.321,118.713,-16.846,124.512
1.057,0.024,0.340,116.150,-24.475,124.084
1.045,0.013,0.363,115.417,-30.945,123.352
1.013,0.008,0.369,116.394,-37.292,123.413
0.993,-0.005,0.385,118.652,-42.114,123.718
0.968,-0.029,0.413,120.605,-45.959,123.901
0.947,-0.064,0.433,121.094,-48.828,124.634
0.928,-0.094,0.457,119.263,-51.331,125.977
0.908,-0.108,0.488,116.394,-54.321,127.197
0.884,-0.126,0.506,113.586,-58.167,128.174
0.841,-0.146,0.516,110.474,-62.012,127.808
0.797,-0.163,0.530,106.750,-65.002,126.648
0.751,-0.172,0.541,102.905,-65.613,124.451
0.703,-0.177,0.551,99.121,-64.392,121.704
0.666,-0.178,0.568,94.727,-61.157,118.347
0.644,-0.178,0.584,90.027,-56.396,114.929
0.626,-0.182,0.601,85.510,-52.612,110.840
0.610,-0.184,0.620,81.665,-49.683,105.530
0.604,-0.179,0.640,77.759,-47.302,99.609
0.605,-0.164,0.659,73.730,-44.800,94.177
0.589,-0.151,0.663,70.801,-43.823,88.745
0.574,-0.143,0.661,67.322,-42.175,83.862
0.563,-0.134,0.661,63.660,-39.246,80.322
0.557,-0.118,0.666,59.753,-35.278,77.759
0.571,-0.100,0.675,55.908,-31.250,75.623
0.593,-0.079,0.681,52.490,-28.381,73.303
0.595,-0.074,0.688,50.537,-27.771,70.374
0.578,-0.060,0.689,48.584,-27.893,67.139
0.567,-0.044,0.693,47.241,-27.954,63.843
0.553,-0.034,0.694,46.021,-27.832,60.669
0.531,-0.031,0.690,44.739,-27.466,57.129
0.520,-0.029,0.689,43.274,-26.733,53.162
0.506,-0.039,0.685,42.053,-24.414,49.072
0.509,-0.022,0.690,40.588,-20.996,44.922
0.506,-0.018,0.700,39.856,-17.639,40.405
0.503,-0.029,0.703,39.551,-14.282,36.011
0.508,-0.032,0.725,39.612,-9.705,32.288
0.514,-0.035,0.733,39.612,-5.127,28.137
0.524,-0.063,0.748,39.001,-0.183,24.841
0.544,-0.099,0.767,37.170,5.615,23.437
0.552,-0.108,0.781,34.424,10.376,22.949

1.479,-0.893,-0.269,-277.405,44.922,-346.375
1.577,-0.718,-0.292,-278.442,40.405,-356.262
1.669,-0.523,-0.290,-278.503,36.194,-357.422
1.746,-0.371,-0.315,-277.283,32.776,-349.915
1.781,-0.228,-0.363,-278.870,28.870,-333.435
1.800,-0.069,-0.413,-284.485,24.292,-311.523
1.821,0.097,-0.488,-290.222,19.775,-289.978
1.876,0.275,-0.567,-293.579,16.479,-269.592
1.931,0.455,-0.610,-291.138,13.550,-251.404
1.918,0.613,-0.657,-282.166,8.728,-236.816
1.838,0.733,-0.689,-268.799,4.089,-224.426
1.746,0.865,-0.700,-252.014,3.662,-212.341
1.684,0.993,-0.689,-231.018,9.399,-199.707
1.618,1.061,-0.652,-206.604,18.616,-184.082
1.560,1.081,-0.610,-179.504,26.062,-165.955
1.599,1.088,-0.547,-152.222,29.663,-146.729
1.643,1.069,-0.494,-124.390,26.123,-125.122
1.639,1.022,-0.444,-95.215,14.099,-102.356
1.599,0.982,-0.382,-66.589,-0.793,-80.322
1.554,0.920,-0.335,-41.138,-14.160,-60.791
1.479,0.878,-0.312,-17.578,-24.902,-46.997
1.375,0.814,-0.257,4.150,-26.917,-36.743
1.281,0.731,-0.199,22.949,-20.203,-29.541
1.209,0.651,-0.114,38.025,-6.409,-25.635
1.242,0.551,-0.017,49.988,11.169,-24.231
1.386,0.510,0.060,56.213,24.231,-24.109
1.224,0.275,-0.010,58.105,31.616,-22.034
1.266,0.391,0.148,49.683,44.922,-20.264
1.360,0.331,0.157,45.288,49.744,-6.165
1.395,0.333,0.142,40.588,43.884,3.052
1.409,0.365,0.229,40.161,38.391,11.414
1.410,0.399,0.326,42.664,25.024,21.240
1.399,0.424,0.314,45.959,3.235,32.471
1.358,0.411,0.329,50.842,-11.536,45.532
1.265,0.383,0.343,55.725,-20.569,57.556
1.208,0.383,0.340,61.401,-24.048,68.481
1.159,0.357,0.321,68.726,-22.278,79.041
1.135,0.303,0.350,75.195,-16.235,88.135
1.116,0.296,0.378,79.590,-11.292,94.055
1.080,0.264,0.391,83.069,-8.789,98.389
1.008,0.210,0.345,85.999,-7.996,100.769
1.044,0.262,0.373,89.172,-6.714,101.196
1.019,0.068,0.325,94.238,-8.850,106.201
0.943,0.117,0.248,96.924,-7.812,101.318
0.903,0.085,0.349,99.731,4.517,99.609
0.983,0.112,0.385,101.257,10.742,97.717
1.006,0.076,0.371,103.027,5.859,97.656
1.030,0.075,0.408,104.309,3.906,96.619
1.042,0.060,0.362,105.225,-0.305,99.976
1.044,-0.006,0.381,106.323,-1.587,104.614
1.082,0.007,0.411,106.628,-3.662,107.544
1.083,0.047,0.385,107.239,-10.986,111.450
1.056,0.043,0.378,109.192,-17.578,116.943
1.015,0.034,0.354,111.633,-23.621,121.704
0.963,0.037,0.325,113.159,-27.222,125.000
0.931,0.053,0.312,114.929,-26.917,127.380
0.897,0.064,0.285,116.821,-23.865,130.127
0.869,0.035,0.268,118.469,-19.287,133.362
0.855,0.018,0.259,118.896,-13.550,135.498
0.849,0.027,0.253,119.690,-7.263,136.169
0.856,0.045,0.257,120.605,-0.793,136.658
0.868,0.061,0.261,123.291,4.883,137.207
0.893,0.083,0.265,127.197,8.301,138.000
0.921,0.102,0.268,132.263,8.301,138.733
0.944,0.123,0.279,138.489,5.615,139.526
0.949,0.141,0.285,145.142,0.732,139.832
0.952,0.154,0.285,152.100,-5.676,140.320
0.955,0.139,0.285,158.325,-12.878,141.357
0.945,0.099,0.287,161.987,-21.179,143.921
