aX,aY,aZ,gX,gY,gZ
-0.684,-1.348,1.323,-85.693,165.161,-25.269
0.170,-1.326,1.408,-101.563,290.161,-10.010
1.150,-0.927,1.829,-94.971,287.354,-8.057
1.234,-0.480,1.896,-70.007,191.406,-24.780
0.861,-0.769,1.520,-33.630,78.064,-32.959
0.505,-0.907,0.627,-15.686,-12.390,-37.781
0.278,-0.867,-0.044,-16.846,-48.096,-44.678
0.366,-1.053,-0.381,-19.470,-48.889,-55.420
0.460,-1.047,-0.520,-25.269,-47.852,-76.172
0.555,-1.193,-0.405,-19.165,-46.021,-91.553
0.603,-1.445,-0.096,-8.606,-46.997,-109.497
0.669,-1.835,0.348,1.343,-49.561,-116.882
0.717,-2.122,0.696,5.737,-52.734,-112.610
0.762,-2.113,0.733,3.479,-64.026,-97.656
0.608,-1.865,0.551,-2.747,-83.923,-75.256
0.479,-1.782,0.308,-5.737,-103.210,-60.608
0.415,-1.888,0.094,-4.272,-119.812,-54.565
0.380,-1.837,0.023,-2.808,-129.333,-47.058
0.237,-1.830,0.105,-3.662,-129.700,-42.480
0.047,-1.820,0.155,-8.362,-129.578,-44.189
-0.167,-1.668,0.141,-14.709,-121.887,-47.974
-0.308,-1.517,0.160,-17.700,-101.440,-47.668
-0.382,-1.353,0.199,-17.090,-73.792,-42.419
-0.356,-1.207,0.169,-13.489,-51.208,-33.386
-0.323,-1.100,0.155,-5.310,-36.011,-23.071
-0.364,-1.111,0.155,3.540,-21.729,-11.597
-0.364,-1.164,0.198,10.742,-5.981,-2.625
-0.324,-1.182,0.243,16.479,9.460,2.441
-0.213,-1.195,0.251,19.714,23.132,5.066
-0.081,-1.223,0.222,20.325,33.508,6.592
0.063,-1.208,0.229,21.729,38.818,7.568
0.177,-1.216,0.226,23.743,37.537,7.629
0.246,-1.205,0.236,26.062,32.898,7.019
0.283,-1.186,0.232,27.161,24.841,5.737
0.262,-1.165,0.204,27.283,14.954,4.578
0.231,-1.151,0.208,28.137,6.287,2.686
0.192,-1.167,0.213,29.297,-1.038,0.916
0.125,-1.193,0.207,30.640,-7.507,-1.282
0.060,-1.195,0.197,30.945,-11.230,-2.930
0.005,-1.193,0.179,30.090,-11.658,-3.113
-0.021,-1.185,0.175,28.809,-9.644,-3.296
-0.043,-1.162,0.169,27.893,-6.653,-3.479
-0.052,-1.109,0.185,28.687,-3.540,-3.479
-0.060,-1.091,0.202,28.687,-0.488,-2.075
-0.070,-1.062,0.208,27.832,3.418,0.916
-0.075,-1.034,0.206,27.283,8.850,3.906
-0.072,-1.016,0.195,26.550,14.832,6.836
-0.050,-0.996,0.209,25.085,21.423,9.521
-0.037,-0.970,0.231,23.254,28.076,11.047
-0.037,-0.960,0.237,22.766,35.156,11.658
-0.032,-0.970,0.239,23.071,42.786,12.146
-0.021,-0.998,0.223,23.437,50.537,12.817
0.012,-1.034,0.225,21.790,59.021,13.123
0.049,-1.074,0.244,19.043,67.200,12.146
0.086,-1.105,0.285,14.954,73.608,10.010
0.150,-1.127,0.340,10.620,77.332,7.568
0.207,-1.144,0.380,7.629,75.500,4.883
0.251,-1.172,0.418,6.592,68.054,1.343
0.315,-1.241,0.453,5.981,57.007,-2.075
0.358,-1.320,0.470,5.371,42.114,-3.906
0.361,-1.359,0.474,3.296,25.818,-5.127
0.342,-1.372,0.453,-0.671,8.850,-3.784
0.333,-1.378,0.441,-3.967,-6.531,-0.732
0.329,-1.364,0.421,-7.446,-21.851,1.892
0.289,-1.330,0.379,-10.132,-36.194,3.845
0.224,-1.249,0.339,-13.123,-45.837,5.554
0.179,-1.186,0.303,-15.869,-48.889,7.446
0.166,-1.168,0.274,-17.822,-46.082,10.986
0.153,-1.152,0.266,-20.142,-38.757,13.733
0.118,-1.120,0.246,-22.888,-29.785,15.198
0.089,-1.106,0.225,-24.414,-18.494,17.212
0.082,-1.105,0.221,-25.146,-6.287,18.616
0.079,-1.084,0.211,-26.001,4.700,19.043
0.081,-1.052,0.204,-25.696,15.808,19.836
0.084,-1.016,0.203,-24.109,26.733,21.118
0.104,-0.993,0.196,-22.888,35.645,22.156
0.128,-0.962,0.192,-20.996,41.931,23.071
0.152,-0.938,0.191,-18.921,46.082,24.231
0.171,-0.920,0.197,-17.578,47.546,24.719
0.189,-0.897,0.204,-16.846,46.387,24.719
