aX,aY,aZ,gX,gY,gZ
1.135,-1.020,-0.832,-400.574,170.227,-213.867
1.314,-0.937,-0.940,-385.925,155.457,-205.017
1.444,-0.796,-1.002,-364.990,122.375,-181.885
1.437,-0.678,-1.068,-335.327,79.712,-149.658
1.333,-0.575,-1.117,-297.791,38.818,-114.990
1.245,-0.449,-1.112,-255.310,6.592,-80.566
1.175,-0.368,-1.089,-204.285,-20.569,-46.692
1.092,-0.354,-1.142,-150.269,-45.410,-18.188
0.970,-0.387,-1.145,-99.976,-55.359,2.502
0.899,-0.495,-1.093,-53.711,-51.086,16.113
0.880,-0.604,-1.055,-15.991,-38.879,19.653
0.938,-0.670,-0.959,10.681,-22.156,12.756
0.928,-0.766,-0.936,30.090,-7.507,-1.343
1.020,-0.770,-0.851,39.856,9.338,-19.836
1.026,-0.756,-0.861,44.861,22.766,-36.621
1.018,-0.707,-0.802,46.692,36.133,-52.673
1.040,-0.578,-0.732,44.312,48.706,-66.162
1.068,-0.466,-0.664,43.091,60.059,-73.669
1.103,-0.368,-0.620,42.542,67.993,-76.477
1.118,-0.318,-0.582,42.664,72.021,-73.853
1.135,-0.265,-0.567,42.419,72.632,-68.359
1.179,-0.229,-0.563,43.640,69.519,-60.669
1.179,-0.221,-0.585,46.692,62.378,-51.514
1.157,-0.195,-0.616,52.368,54.382,-43.152
1.129,-0.168,-0.649,60.181,48.218,-35.828
1.094,-0.172,-0.668,70.496,45.044,-29.358
1.054,-0.185,-0.689,81.787,45.288,-24.963
1.040,-0.190,-0.707,93.201,49.194,-22.583
1.032,-0.238,-0.741,105.469,55.176,-21.362
1.036,-0.320,-0.786,117.371,62.683,-22.278
1.059,-0.263,-0.798,127.136,71.655,-26.367
1.096,-0.291,-0.779,138.367,77.332,-26.855
1.142,-0.268,-0.775,149.963,76.538,-26.367
1.127,-0.255,-0.745,160.767,69.885,-23.193
1.140,-0.194,-0.718,170.532,60.791,-19.958
1.176,-0.180,-0.697,183.289,46.570,-13.611
1.155,-0.220,-0.683,196.838,31.372,-5.310
1.058,-0.254,-0.707,207.764,16.235,2.869
1.028,-0.312,-0.740,217.346,5.920,12.939
1.020,-0.363,-0.748,224.976,-1.221,18.311
0.960,-0.366,-0.753,230.286,-6.653,17.456
0.906,-0.355,-0.758,233.704,-9.705,14.404
0.869,-0.309,-0.749,237.244,-10.315,11.658
0.843,-0.256,-0.714,241.516,-9.399,8.545
0.816,-0.263,-0.691,247.559,-8.179,5.310
0.799,-0.247,-0.671,253.906,-7.385,0.732
0.795,-0.208,-0.623,259.583,-6.042,-3.906
0.781,-0.216,-0.566,267.212,-5.676,-7.996
0.773,-0.244,-0.518,274.109,-6.836,-11.353
0.772,-0.267,-0.469,279.175,-7.568,-15.198
0.748,-0.290,-0.436,283.081,-8.362,-19.653
0.735,-0.320,-0.420,285.217,-8.545,-22.827
0.761,-0.315,-0.394,285.950,-7.324,-26.306
0.789,-0.296,-0.363,287.292,-6.531,-30.457
0.799,-0.292,-0.338,290.894,-7.812,-34.851
0.846,-0.263,-0.279,296.265,-8.850,-39.185
0.910,-0.232,-0.189,303.711,-10.681,-42.236
0.943,-0.243,-0.139,312.683,-16.602,-43.396
0.927,-0.255,-0.113,320.435,-23.804,-43.823
0.925,-0.257,-0.071,326.843,-28.137,-44.373
0.913,-0.291,-0.042,332.336,-29.175,-44.495
0.906,-0.328,0.000,334.717,-28.931,-43.884
0.934,-0.315,0.098,334.412,-27.771,-43.762
0.964,-0.343,0.169,333.618,-27.771,-43.152
0.971,-0.398,0.196,327.637,-31.616,-40.833
0.989,-0.422,0.271,315.125,-36.865,-37.720
1.017,-0.425,0.334,298.584,-43.518,-34.607
1.002,-0.445,0.380,275.513,-53.711,-29.785
0.968,-0.466,0.419,245.117,-63.599,-23.926
0.918,-0.413,0.451,210.876,-69.031,-19.043
0.877,-0.317,0.497,178.467,-69.275,-15.381
0.822,-0.235,0.529,153.320,-63.965,-11.841
0.793,-0.196,0.539,134.583,-54.688,-8.179
0.789,-0.173,0.540,119.995,-42.053,-5.615
0.787,-0.158,0.537,107.361,-27.893,-3.113
0.795,-0.140,0.538,94.482,-13.062,-0.793
0.826,-0.135,0.545,81.909,0.549,0.244
0.900,-0.122,0.545,69.275,11.353,-0.427
0.987,-0.116,0.555,57.190,16.663,-1.221
1.047,-0.104,0.578,46.021,14.343,-1.282
1.102,-0.093,0.590,35.950,4.150,-0.610
