aX,aY,aZ,gX,gY,gZ
1.272,-0.371,-1.061,77.148,76.111,-30.396
1.406,-0.392,-1.103,101.563,84.229,-34.973
1.496,-0.374,-1.090,132.507,87.585,-36.987
1.511,-0.334,-0.983,166.199,86.609,-34.851
1.492,-0.320,-0.850,202.209,79.407,-27.954
1.484,-0.348,-0.752,238.525,66.772,-19.226
1.445,-0.380,-0.664,272.156,51.025,-11.597
1.400,-0.443,-0.633,303.284,34.668,-5.005
1.314,-0.523,-0.593,332.092,22.522,-1.160
1.222,-0.526,-0.523,354.248,18.372,1.953
1.178,-0.519,-0.444,372.803,18.921,4.944
1.189,-0.509,-0.376,390.503,19.531,7.568
1.164,-0.518,-0.294,407.288,19.348,9.521
1.149,-0.528,-0.203,421.753,16.785,11.169
1.081,-0.525,-0.121,433.777,10.193,12.451
1.041,-0.555,-0.080,441.650,1.831,14.404
0.977,-0.601,-0.007,445.679,-5.371,14.893
0.955,-0.634,0.041,444.092,-12.390,12.451
0.966,-0.664,0.038,436.829,-19.958,8.545
0.785,-0.697,0.155,425.598,-24.719,2.441
0.712,-0.689,0.192,408.875,-30.396,-3.906
0.737,-0.671,0.229,388.733,-30.396,-8.545
0.713,-0.613,0.279,367.004,-26.367,-13.245
0.652,-0.555,0.297,344.299,-23.804,-16.418
0.670,-0.505,0.302,322.388,-22.522,-16.663
0.741,-0.514,0.277,301.270,-22.705,-16.296
0.760,-0.483,0.305,279.968,-23.010,-17.822
0.756,-0.443,0.343,259.399,-25.757,-17.395
0.764,-0.408,0.336,240.295,-34.241,-15.625
0.774,-0.387,0.340,221.252,-44.189,-15.747
0.772,-0.422,0.405,201.477,-51.819,-17.944
0.846,-0.438,0.513,179.565,-60.791,-23.132
0.970,-0.473,0.721,155.579,-78.674,-27.039
0.990,-0.454,0.847,124.023,-110.718,-27.039
0.797,-0.440,0.782,84.961,-138.733,-25.208
0.479,-0.482,0.676,45.532,-137.268,-21.912
0.295,-0.430,0.612,9.583,-99.243,-18.738
0.482,-0.258,0.566,-19.287,-39.368,-16.235
0.790,-0.152,0.401,-33.447,2.747,-11.902
0.931,-0.082,0.258,-34.729,16.418,-7.874
0.964,-0.001,0.213,-26.428,16.235,-5.676
0.969,0.037,0.153,-13.794,7.629,-3.479
0.908,0.055,0.075,-2.258,-0.916,-2.930
0.912,0.072,0.032,6.958,-2.136,-3.601
0.919,0.077,0.015,13.794,0.610,-3.967
0.911,0.060,0.013,18.921,3.540,-3.540
0.937,0.051,0.021,21.423,8.362,-4.211
0.940,0.049,0.033,21.545,12.512,-5.493
0.948,0.038,0.061,19.958,15.930,-6.775
0.969,0.040,0.077,17.151,18.127,-7.935
0.973,0.033,0.091,12.695,19.836,-7.507
0.984,0.029,0.107,7.507,21.423,-6.042
1.010,0.017,0.130,2.197,21.240,-3.662
1.020,0.002,0.119,-3.906,18.799,-1.160
1.033,-0.010,0.118,-9.460,15.869,2.197
1.034,-0.020,0.133,-13.794,11.963,4.456
1.031,-0.027,0.131,-17.883,7.141,5.249
1.025,-0.046,0.129,-21.606,2.991,5.005
1.024,-0.047,0.138,-24.780,0.122,3.113
1.032,-0.039,0.148,-26.672,-2.380,0.916
1.032,-0.035,0.151,-28.320,-5.127,-0.244
1.026,-0.038,0.143,-30.090,-8.118,-0.061
1.020,-0.042,0.126,-32.532,-10.071,0.305
1.001,-0.033,0.104,-35.583,-10.925,0.488
0.985,-0.028,0.093,-39.124,-10.010,1.831
0.969,-0.027,0.089,-42.908,-7.141,3.540
0.955,-0.023,0.077,-46.936,-3.235,4.883
0.963,-0.037,0.073,-50.354,1.709,5.676
1.004,-0.041,0.086,-53.955,7.568,5.859
1.042,-0.043,0.111,-57.068,11.047,5.066
1.084,-0.063,0.148,-59.814,10.254,4.272
1.086,-0.079,0.144,-63.293,4.822,2.258
1.079,-0.076,0.135,-67.383,-2.197,0.000
1.070,-0.074,0.129,-71.045,-8.484,-0.610
1.049,-0.066,0.113,-74.890,-14.099,-0.122
1.023,-0.054,0.105,-78.247,-18.250,1.038
0.997,-0.047,0.101,-80.688,-19.592,3.357
0.981,-0.050,0.095,-82.642,-18.250,5.554
0.956,-0.051,0.101,-86.060,-15.015,7.080
0.934,-0.053,0.122,-90.637,-10.132,7.812
0.928,-0.054,0.141,-95.581,-4.944,7.263
0.941,-0.050,0.149,-100.037,-0.610,5.798
0.944,-0.041,0.157,-103.394,1.831,4.578
0.957,-0.019,0.146,-104.553,2.319,5.981
0.946,-0.018,0.120,-104.065,1.526,9.155
0.921,-0.019,0.096,-105.225,2.075,12.634
0.943,-0.023,0.109,-108.154,4.700,14.709
0.988,-0.015,0.117,-112.915,6.836,15.625
1.013,-0.002,0.107,-117.493,6.531,16.052
1.012,-0.000,0.107,-120.667,4.578,16.418
1.014,0.003,0.107,-122.559,0.061,16.846
1.026,0.001,0.069,-123.169,-5.737,17.090
1.024,0.005,0.052,-123.230,-8.850,14.893
1.021,0.023,0.061,-122.681,-9.277,13.123
1.038,0.037,0.080,-121.460,-7.874,12.512
1.048,0.066,0.093,-120.483,-6.348,12.573
1.037,0.075,0.107,-118.896,-4.822,14.038
1.033,0.063,0.111,-117.432,-3.296,16.418
1.023,0.041,0.113,-119.019,-1.892,19.043
1.022,0.035,0.130,-123.108,0.061,20.996
1.010,0.053,0.139,-128.845,2.380,22.339
0.985,0.082,0.104,-133.545,4.272,23.071
0.960,0.083,0.077,-135.071,6.592,23.132
0.951,0.087,0.043,-135.254,9.277,22.827
0.967,0.107,0.023,-133.362,11.597,22.095
0.986,0.108,0.023,-129.150,12.390,22.705
0.992,0.085,0.000,-123.901,10.315,24.963
0.999,0.072,0.013,-121.338,6.958,28.076
1.030,0.112,0.047,-121.155,3.479,31.006
1.032,0.127,0.036,-120.728,-1.831,34.485
1.018,0.137,0.019,-118.469,-7.324,35.950
1.001,0.144,0.001,-115.295,-11.536,35.461
0.973,0.149,-0.008,-111.755,-13.672,33.386
0.957,0.153,-0.024,-108.032,-14.221,30.640
0.953,0.152,-0.033,-104.187,-12.939,27.588
0.947,0.151,-0.037,-100.952,-10.254,24.414
0.940,0.157,-0.049,-98.450,-7.629,22.034
0.935,0.172,-0.062,-94.788,-4.944,20.630
0.962,0.163,-0.052,-89.111,-2.502,20.447

1.205,-0.273,-1.085,224.060,47.363,-36.560
1.189,-0.315,-1.087,251.099,46.570,-34.058
1.177,-0.345,-1.045,276.978,50.415,-32.227
1.163,-0.380,-0.995,302.795,57.007,-31.677
1.153,-0.400,-0.920,326.904,65.186,-32.288
1.146,-0.421,-0.816,348.572,73.120,-32.837
1.158,-0.423,-0.726,368.164,79.407,-34.058
1.136,-0.427,-0.624,386.475,85.266,-36.560
1.134,-0.443,-0.523,404.236,90.820,-38.940
1.160,-0.471,-0.431,419.983,93.384,-40.710
1.181,-0.505,-0.356,431.885,91.187,-41.504
1.235,-0.501,-0.284,439.880,84.412,-42.053
1.266,-0.496,-0.180,446.350,73.120,-40.833
1.281,-0.494,-0.082,450.989,54.504,-37.781
1.257,-0.503,-0.017,452.820,29.602,-34.973
1.203,-0.495,0.035,449.890,2.136,-32.898
1.103,-0.501,0.040,441.589,-23.193,-29.541
0.998,-0.529,0.071,429.565,-44.312,-27.954
0.923,-0.513,0.146,413.513,-58.716,-28.442
0.845,-0.471,0.196,396.362,-68.481,-28.992
0.785,-0.446,0.241,381.226,-71.167,-29.175
0.764,-0.431,0.272,367.920,-67.932,-28.992
0.689,-0.426,0.298,354.065,-61.890,-29.114
0.701,-0.413,0.301,340.576,-53.406,-28.870
0.658,-0.391,0.322,328.491,-41.687,-29.907
0.670,-0.403,0.337,317.078,-30.884,-30.945
0.715,-0.402,0.400,306.580,-22.583,-32.593
0.773,-0.397,0.416,295.227,-20.508,-34.607
0.650,-0.431,0.455,280.762,-19.165,-36.377
0.776,-0.458,0.531,262.268,-14.404,-39.063
0.960,-0.649,0.922,241.089,-12.939,-38.879
1.169,-0.781,1.510,201.477,-32.959,-38.513
1.044,-0.945,1.680,127.808,-73.608,-27.405
0.678,-0.561,1.138,36.072,-78.064,-17.029
0.550,-0.296,0.930,-23.804,-31.311,-9.216
0.668,-0.183,0.572,-53.345,-0.061,-8.789
0.871,-0.090,0.309,-57.312,13.916,-4.822
0.975,-0.009,0.217,-45.044,20.691,1.465
0.974,0.045,0.150,-28.992,15.320,6.287
0.925,0.082,0.065,-13.672,6.958,8.606
0.949,0.101,0.061,-0.854,6.287,8.179
1.002,0.134,0.040,8.179,5.859,6.165
0.977,0.138,-0.005,14.954,2.197,4.639
0.920,0.135,-0.045,19.592,1.892,3.052
0.923,0.139,-0.069,22.217,4.761,0.061
0.967,0.156,-0.051,24.231,9.460,-2.930
1.014,0.163,-0.006,24.963,12.085,-4.028
1.002,0.174,0.016,24.353,10.010,-3.418
