aX,aY,aZ,gX,gY,gZ
1.881,0.745,0.718,-83.862,353.088,38.574
2.274,0.901,0.723,-97.961,379.700,40.039
2.435,1.068,0.637,-113.220,391.724,41.077
2.444,1.215,0.473,-128.723,397.766,44.312
2.339,1.380,0.303,-140.381,408.752,53.101
2.174,1.556,0.106,-145.081,427.185,66.589
2.109,1.649,-0.030,-139.038,452.332,83.496
2.168,1.698,-0.052,-122.131,479.858,98.877
2.295,1.690,0.006,-96.130,497.314,114.563
2.440,1.624,0.141,-64.392,498.169,135.437
2.576,1.549,0.234,-30.457,486.877,157.288
2.671,1.416,0.314,4.150,474.426,176.514
2.833,1.295,0.454,39.001,459.717,201.599
2.871,1.034,0.475,72.937,434.998,235.107
2.837,0.796,0.424,100.647,406.494,262.390
2.653,0.621,0.406,126.282,380.676,284.180
2.418,0.422,0.365,151.306,357.117,302.856
2.216,0.230,0.312,174.133,338.440,315.979
2.026,0.096,0.239,193.848,322.998,323.914
1.805,-0.088,0.174,209.412,310.608,323.792
1.659,-0.081,0.130,217.834,300.842,308.228
1.550,-0.092,0.061,223.511,288.513,296.082
1.480,-0.171,-0.005,225.464,273.682,286.987
1.416,-0.179,-0.046,219.360,256.042,274.170
1.314,-0.120,-0.057,206.848,235.474,261.230
1.187,-0.070,-0.054,191.040,210.632,253.479
1.004,-0.118,-0.109,171.509,184.082,248.901
0.758,-0.053,-0.129,147.827,164.368,236.877
0.594,0.230,-0.110,126.892,154.785,220.337
0.603,0.231,-0.154,117.798,148.865,216.675
0.448,0.234,-0.235,111.023,143.250,209.351
0.293,0.281,-0.237,102.905,145.630,199.036
0.178,0.228,-0.295,96.436,151.062,188.049
0.144,0.231,-0.330,89.417,158.875,168.213
0.160,0.236,-0.349,83.618,168.518,147.949
0.177,0.264,-0.256,79.712,173.218,124.146
0.177,0.211,-0.291,75.256,167.419,99.487
0.198,0.299,-0.251,73.486,160.461,79.224
0.091,0.085,-0.257,75.806,149.231,61.646
0.061,0.149,-0.350,73.730,135.803,31.250
0.143,0.395,0.214,77.332,133.728,17.273
0.270,0.431,0.045,95.825,92.773,18.860
0.120,0.092,0.008,108.582,52.917,26.367
0.050,0.191,0.090,107.544,31.189,13.000
-0.105,0.122,0.055,111.328,17.517,3.174
-0.104,0.008,0.214,113.953,11.963,-9.216
-0.074,0.120,0.223,108.948,3.662,-21.973
-0.008,0.012,0.281,95.032,-3.174,-19.897
0.030,-0.190,0.162,74.158,-16.113,-13.611
-0.020,-0.044,0.206,44.495,-20.752,-17.578
0.018,-0.017,0.246,20.203,-24.658,-16.602
-0.098,-0.098,0.030,0.610,-29.114,-24.353
-0.112,0.215,0.140,-21.545,-15.686,-37.415
-0.017,0.191,0.055,-27.588,-5.432,-36.011
0.022,0.175,-0.008,-32.349,3.784,-42.908
0.058,0.301,-0.023,-35.706,16.174,-48.523
0.118,0.354,-0.015,-34.058,25.757,-48.706
0.140,0.318,-0.060,-27.832,29.663,-47.852
0.177,0.404,-0.045,-22.217,33.569,-51.270
0.252,0.474,-0.015,-14.893,35.278,-52.979
0.307,0.475,-0.010,-6.592,31.189,-51.880
0.349,0.487,0.026,-0.793,23.987,-49.133
0.371,0.500,0.049,2.808,12.390,-44.006
0.367,0.492,0.070,3.540,-0.427,-38.330
0.367,0.529,0.096,0.610,-11.963,-32.898
0.344,0.593,0.126,-3.906,-22.583,-26.306
0.314,0.604,0.106,-8.484,-32.410,-19.531
0.265,0.618,0.088,-13.855,-38.940,-16.785
0.228,0.690,0.080,-19.897,-41.382,-18.311
0.195,0.741,0.061,-23.926,-40.283,-19.531
0.179,0.763,0.046,-25.879,-36.316,-21.240
0.181,0.778,0.042,-26.550,-30.701,-23.193
0.225,0.779,0.056,-26.001,-25.146,-24.536
0.283,0.788,0.080,-25.513,-21.667,-24.292
0.319,0.787,0.090,-24.719,-22.461,-23.499
0.335,0.797,0.088,-25.208,-26.428,-22.217
0.318,0.820,0.076,-26.184,-31.738,-21.301
0.290,0.825,0.050,-27.832,-35.767,-20.813
0.282,0.821,0.038,-29.358,-37.537,-20.508
0.278,0.801,0.037,-30.457,-38.330,-20.935
0.262,0.754,0.029,-31.128,-38.757,-22.522
0.275,0.733,0.026,-33.203,-38.635,-24.231
0.288,0.743,0.021,-35.339,-39.185,-26.184
0.307,0.820,0.017,-37.842,-40.955,-28.381
0.317,0.887,0.008,-39.001,-44.312,-29.114
0.344,0.961,0.012,-39.063,-49.316,-29.541
0.370,1.000,0.008,-37.109,-55.481,-29.175
0.376,0.978,-0.000,-34.607,-63.110,-27.832
0.379,0.936,-0.008,-32.532,-71.045,-26.367
0.389,0.880,-0.001,-31.494,-78.491,-23.804
0.406,0.818,0.007,-31.616,-87.402,-20.569
0.366,0.760,0.007,-33.142,-97.717,-18.738
0.342,0.783,0.025,-35.156,-106.567,-20.569
0.325,0.791,0.000,-36.499,-114.014,-22.705
0.315,0.886,-0.004,-38.208,-119.263,-26.306
0.348,1.017,0.020,-38.513,-124.329,-29.602
0.381,1.051,0.023,-35.889,-133.057,-30.151
0.401,1.020,0.011,-31.799,-145.569,-30.823
0.416,0.975,0.005,-28.748,-159.424,-32.166
0.419,0.920,0.006,-27.039,-174.438,-34.424
0.425,0.861,-0.011,-25.879,-190.308,-38.025
0.400,0.862,-0.046,-26.794,-205.750,-41.992
0.316,0.894,-0.080,-28.564,-217.834,-47.791
0.225,0.907,-0.117,-27.710,-221.436,-56.213
0.188,0.929,-0.130,-25.452,-214.111,-65.857
0.192,0.954,-0.112,-22.827,-199.768,-74.280
0.209,0.956,-0.088,-19.348,-184.265,-81.055
0.265,0.921,-0.059,-15.442,-169.067,-86.792
0.350,0.890,-0.014,-12.939,-157.104,-91.125
0.410,0.869,0.017,-12.451,-151.001,-94.666
0.406,0.843,0.037,-12.939,-149.231,-98.450
0.417,0.821,0.033,-13.367,-147.095,-101.318
0.463,0.842,0.058,-14.160,-144.287,-104.370
0.500,0.859,0.091,-15.808,-143.738,-107.361
0.509,0.816,0.077,-16.052,-146.179,-107.422
0.481,0.802,0.072,-16.907,-147.461,-109.497
0.486,0.807,0.088,-18.311,-144.470,-112.244
0.504,0.798,0.103,-18.799,-141.174,-114.746
0.486,0.771,0.090,-18.860,-138.000,-117.615

1.478,0.668,-0.528,64.331,133.850,-20.508
1.515,0.660,-0.566,73.425,142.700,-14.893
1.532,0.646,-0.597,80.017,153.870,-7.996
1.492,0.619,-0.626,85.022,168.152,-0.854
1.439,0.589,-0.644,88.196,187.012,6.409
1.433,0.548,-0.676,89.783,208.923,12.207
1.496,0.536,-0.705,89.722,231.506,15.442
1.614,0.563,-0.719,87.646,248.718,17.761
1.755,0.644,-0.760,86.304,256.226,20.020
1.856,0.779,-0.868,88.013,255.615,22.339
1.942,0.980,-0.973,93.079,253.357,27.161
2.075,1.223,-1.096,102.051,253.784,35.889
2.246,1.420,-1.248,114.685,259.033,45.959
2.425,1.584,-1.426,128.296,269.836,59.875
2.611,1.771,-1.597,142.212,285.461,78.125
2.825,2.026,-1.647,158.081,302.856,100.647
3.046,2.196,-1.625,180.420,314.880,128.235
3.302,2.243,-1.536,209.473,313.416,161.560
3.266,1.465,-2.019,241.699,294.312,196.655
3.536,2.246,-1.032,253.906,279.968,205.383
3.286,1.401,-1.536,293.579,222.290,255.554
3.053,0.949,-1.576,327.637,179.993,291.443
2.643,0.788,-1.491,331.360,165.344,312.927
2.247,0.344,-1.553,351.562,161.438,329.285
1.912,-0.035,-1.521,362.610,173.767,335.571
1.519,-0.304,-1.441,364.746,195.312,331.055
1.192,-0.585,-1.298,360.168,220.276,315.613
0.985,-0.740,-1.080,343.018,241.638,288.086
0.865,-0.760,-0.920,317.505,249.146,252.441
0.818,-0.608,-0.732,289.734,242.432,214.722
0.828,-0.369,-0.484,270.630,221.436,179.993
0.789,-0.293,-0.325,265.503,185.608,149.353
0.699,-0.291,-0.167,267.273,140.320,120.056
0.521,-0.357,-0.076,268.494,94.055,92.346
0.385,-0.597,-0.004,265.442,54.810,63.354
0.599,-1.036,0.013,247.864,30.029,40.039
0.707,-1.206,-0.021,199.585,11.108,36.926
0.555,-1.041,-0.099,137.085,-6.531,46.143
0.430,-0.838,-0.202,87.402,-10.986,56.091
0.287,-0.625,-0.269,57.739,-1.770,55.420
0.145,-0.511,-0.297,49.072,20.020,42.114
0.132,-0.448,-0.282,55.481,48.828,22.949
0.165,-0.397,-0.201,69.519,73.608,4.272
0.190,-0.365,-0.093,86.243,88.196,-11.963
0.220,-0.353,0.025,102.051,91.187,-26.306
0.294,-0.330,0.151,112.122,85.022,-36.560
0.369,-0.258,0.262,112.488,69.763,-38.574
0.380,-0.225,0.335,103.577,46.021,-33.264
0.319,-0.185,0.334,85.571,20.630,-23.743
0.201,-0.103,0.311,61.829,1.526,-15.869
0.087,0.004,0.285,39.429,-7.141,-13.977
0.031,0.112,0.273,23.315,-6.958,-17.456
0.036,0.213,0.284,14.038,-2.319,-23.010
0.095,0.288,0.306,10.376,1.404,-26.978
0.178,0.343,0.333,9.399,1.038,-27.893
0.231,0.390,0.354,9.460,-5.554,-26.733
0.251,0.424,0.363,9.033,-17.639,-24.963
0.237,0.447,0.351,7.996,-32.837,-23.621
0.176,0.460,0.320,6.348,-46.265,-24.231
0.133,0.505,0.297,3.601,-53.467,-26.184
0.093,0.529,0.277,-0.916,-53.955,-27.527
0.096,0.507,0.254,-7.141,-48.096,-28.259
0.135,0.498,0.240,-16.418,-38.208,-27.832
0.173,0.518,0.237,-28.015,-28.259,-27.039
0.218,0.543,0.234,-38.818,-20.630,-26.306
0.248,0.588,0.221,-47.180,-16.541,-25.696
0.251,0.644,0.204,-52.795,-14.893,-25.574
0.271,0.677,0.195,-54.688,-13.855,-25.085
0.303,0.680,0.193,-54.077,-13.977,-24.048
0.346,0.643,0.192,-53.345,-16.174,-23.071
0.380,0.620,0.193,-53.833,-21.179,-22.583
0.418,0.592,0.186,-54.993,-28.564,-21.484
0.434,0.579,0.174,-56.946,-37.415,-20.020
0.415,0.636,0.146,-59.387,-46.448,-18.860
0.385,0.674,0.108,-61.523,-53.650,-18.311
0.354,0.691,0.086,-63.599,-57.434,-19.592
0.337,0.699,0.062,-65.613,-58.960,-21.667
0.324,0.628,0.015,-68.054,-58.716,-23.193
0.343,0.636,0.042,-73.181,-57.007,-27.588
0.389,0.711,0.095,-77.087,-60.852,-30.518
0.407,0.618,0.046,-76.965,-72.815,-27.527
0.406,0.723,0.007,-78.003,-84.167,-28.015
0.380,0.871,-0.008,-79.712,-93.750,-29.785
0.370,0.912,-0.073,-78.247,-101.990,-29.785
0.376,0.960,-0.129,-78.003,-106.934,-30.090
0.410,0.980,-0.166,-80.017,-108.887,-31.006
0.453,0.962,-0.218,-83.374,-112.000,-32.043
0.427,0.944,-0.271,-86.792,-115.723,-34.546
0.379,0.930,-0.318,-87.952,-115.906,-38.635
0.385,0.956,-0.328,-85.510,-110.413,-40.833
0.400,0.990,-0.309,-79.346,-103.455,-40.588
0.397,1.103,-0.301,-71.472,-97.717,-38.086
0.411,1.224,-0.280,-63.416,-94.666,-33.508
0.425,1.233,-0.271,-55.908,-95.215,-27.283
0.441,1.180,-0.275,-50.781,-99.365,-23.926
0.470,1.167,-0.252,-50.049,-106.140,-24.841
0.475,1.138,-0.228,-50.415,-116.943,-27.954
0.447,1.062,-0.241,-49.866,-129.883,-32.104
0.394,1.012,-0.259,-50.415,-139.709,-36.743
0.382,1.015,-0.255,-51.208,-143.799,-40.649
0.370,1.006,-0.242,-50.049,-143.921,-43.701
0.334,1.000,-0.232,-47.913,-141.724,-45.654
0.312,1.003,-0.219,-44.922,-137.329,-48.218
0.325,1.036,-0.201,-41.260,-130.981,-51.331
0.349,1.076,-0.162,-38.513,-125.793,-54.565
0.408,1.048,-0.131,-36.560,-125.366,-56.702
0.497,0.999,-0.111,-36.560,-131.531,-57.861
0.541,0.980,-0.103,-39.917,-145.935,-59.753
0.519,0.956,-0.116,-44.373,-165.894,-62.927
0.490,0.938,-0.144,-48.584,-183.838,-68.054
0.466,0.959,-0.153,-50.781,-196.350,-74.341
0.438,0.988,-0.142,-48.828,-204.468,-79.346
0.402,1.016,-0.140,-42.053,-208.374,-81.482
0.390,1.028,-0.123,-31.677,-206.909,-81.421
0.386,1.011,-0.102,-19.775,-201.172,-80.688
0.378,0.971,-0.084,-9.338,-191.528,-81.604
0.379,0.930,-0.052,-1.404,-178.955,-83.679
0.375,0.902,-0.014,3.723,-166.443,-85.632
0.394,0.859,0.024,6.348,-154.785,-87.097

2.111,1.089,-0.213,29.053,154.419,-27.100
2.477,1.400,-0.364,24.780,163.208,-17.639
2.775,1.755,-0.562,24.353,166.992,-3.906
3.028,2.054,-0.824,27.283,173.096,14.282
3.259,2.343,-1.123,31.799,191.040,39.734
3.501,2.647,-1.332,39.063,224.670,72.815
3.790,2.863,-1.471,50.415,271.240,114.136
4.000,2.837,-1.505,66.895,322.937,163.330
4.000,2.605,-1.476,84.900,363.831,219.482
4.000,2.253,-1.408,103.088,384.644,274.109
4.000,1.792,-1.348,123.413,384.277,325.195
4.000,1.253,-1.314,149.475,368.896,369.263
3.715,0.662,-1.281,181.396,346.252,403.748
3.295,0.126,-1.250,217.407,320.679,424.377
2.939,-0.224,-1.206,255.127,298.706,431.641
2.668,-0.751,-1.216,292.969,281.677,435.974
2.332,-1.127,-1.225,316.284,266.296,412.964
2.027,-1.070,-1.080,323.730,256.775,372.192
1.718,-1.081,-0.949,330.811,247.742,339.294
1.589,-1.021,-0.872,330.017,234.741,304.932
1.280,-0.968,-0.780,321.838,223.389,272.949
1.076,-0.951,-0.658,309.387,213.867,234.619
1.021,-0.878,-0.488,296.326,204.590,196.045
0.962,-0.839,-0.298,279.358,190.857,165.649
0.835,-0.810,-0.181,256.104,168.396,146.729
0.740,-0.795,-0.096,228.882,144.043,131.042
0.626,-0.724,-0.035,198.364,120.239,113.953
0.515,-0.679,0.009,167.603,98.877,96.985
0.477,-0.688,0.019,136.902,81.665,85.876
0.360,-0.720,-0.033,105.469,67.688,77.881
0.205,-0.666,-0.103,75.928,62.195,66.101
0.144,-0.545,-0.120,54.443,68.054,54.504
0.160,-0.470,-0.139,44.250,76.599,44.128
0.167,-0.416,-0.146,42.419,81.848,32.715
0.123,-0.351,-0.150,45.715,83.923,22.217
0.125,-0.311,-0.123,53.772,84.290,13.245
0.171,-0.279,-0.061,63.599,82.458,5.493
0.220,-0.239,0.012,70.374,74.707,-0.427
0.262,-0.216,0.067,71.960,59.875,-3.723
0.288,-0.168,0.119,67.139,39.429,-5.615
0.242,-0.130,0.106,58.105,15.747,-6.775
0.163,-0.077,0.083,45.837,-2.563,-8.972
0.072,0.011,0.070,33.264,-12.268,-12.268
-0.031,0.098,0.047,23.315,-14.282,-15.625
-0.086,0.194,0.041,16.968,-7.996,-18.250
-0.055,0.259,0.064,14.648,3.174,-19.104
0.007,0.292,0.090,14.648,14.038,-19.165
0.081,0.349,0.135,13.611,19.958,-19.531
0.139,0.411,0.165,12.817,18.616,-19.836
0.165,0.443,0.176,12.207,11.292,-20.020
0.179,0.450,0.178,10.864,1.343,-20.569
0.205,0.461,0.174,8.362,-8.240,-19.836
0.239,0.459,0.163,4.700,-17.883,-18.250
0.261,0.444,0.145,-0.366,-27.893,-17.151
0.215,0.477,0.103,-6.042,-36.865,-17.700
0.177,0.524,0.085,-10.559,-40.405,-20.081
0.171,0.562,0.079,-12.390,-37.720,-21.973
0.157,0.600,0.076,-13.000,-31.616,-23.621
0.142,0.617,0.069,-12.817,-22.705,-24.475
0.162,0.657,0.080,-13.184,-11.047,-23.743
0.173,0.633,0.071,-13.855,-0.122,-22.095
0.192,0.608,0.081,-16.663,10.132,-23.621
0.304,0.648,0.181,-21.362,15.625,-23.987
0.425,0.551,0.162,-25.513,7.141,-20.020
0.460,0.539,0.159,-33.081,-8.240,-17.578
0.462,0.520,0.156,-40.649,-28.870,-15.625
0.445,0.489,0.118,-44.128,-52.307,-16.479
0.416,0.497,0.085,-44.189,-74.219,-21.790
0.378,0.480,0.054,-42.480,-91.675,-29.602
0.370,0.542,0.077,-38.635,-105.042,-39.551
0.353,0.635,0.091,-31.921,-116.211,-46.509
0.373,0.638,0.097,-23.560,-125.000,-49.622
0.400,0.605,0.083,-17.517,-132.202,-49.988
0.412,0.558,0.064,-17.334,-139.587,-50.354
0.401,0.532,0.034,-22.034,-148.010,-52.673
