aX,aY,aZ,gX,gY,gZ
-0.062,-1.022,-0.194,-55.908,41.748,-85.022
0.078,-0.905,-0.138,-42.358,72.937,-83.984
0.241,-0.774,-0.081,-29.358,93.262,-76.66
0.406,-0.638,-0.019,-16.296,102.051,-65.552
0.547,-0.494,0.045,-3.967,98.083,-51.819
0.662,-0.347,0.092,7.568,82.52,-38.391
0.737,-0.267,0.116,16.235,58.228,-25.146
0.76,-0.199,0.114,20.63,29.48,-12.878
0.758,-0.129,0.102,19.104,2.319,-0.732
0.766,-0.078,0.094,12.573,-20.691,11.169
0.741,-0.004,0.078,3.113,-36.194,19.165
0.7,0.12,0.049,-7.629,-42.542,22.095
0.665,0.306,0.004,-18.005,-40.833,20.386
0.619,0.535,-0.051,-24.78,-32.532,14.465
0.543,0.737,-0.104,-24.719,-17.212,7.141
0.498,0.855,-0.121,-19.043,5.127,3.235
0.482,0.905,-0.117,-10.132,30.029,5.554
0.485,0.923,-0.103,1.221,50.476,13.428
0.522,0.928,-0.088,12.695,61.401,24.841
0.562,0.944,-0.084,24.109,60.364,35.583
0.55,0.995,-0.083,35.767,50.537,41.809
0.485,1.06,-0.091,48.096,38.757,43.274
0.365,1.146,-0.13,59.326,31.799,41.992
0.274,1.268,-0.16,65.979,32.654,39.978
0.231,1.388,-0.151,70.19,40.405,35.95
0.222,1.453,-0.121,74.463,50.415,29.907
0.119,1.226,-0.184,78.064,60.059,20.203
0.154,1.407,0.043,76.843,72.632,-2.441
0.231,1.326,0.064,77.881,75.439,-15.259
0.332,1.29,0.051,76.416,68.542,-23.865
0.427,1.349,0.057,66.711,57.617,-32.898
0.534,1.445,0.066,53.04,39.734,-35.278
0.626,1.458,0.071,39.185,15.564,-28.748
0.641,1.46,0.071,27.466,-13.123,-18.494
0.615,1.45,0.09,19.897,-42.603,-7.996
0.529,1.385,0.087,17.7,-70.129,1.038
0.425,1.276,0.052,19.226,-90.576,6.897
0.366,1.205,0.027,21.729,-100.098,6.897
0.314,1.205,0.01,25.696,-99.06,-0.061
0.313,1.243,0.01,30.457,-90.149,-10.559
0.371,1.338,-0.003,35.095,-78.125,-23.376
0.399,1.44,0.038,38.818,-65.613,-35.278
0.37,1.46,0.072,42.603,-57.312,-39.063
0.371,1.406,0.099,44.25,-52.551,-33.325
0.4,1.334,0.127,41.931,-49.927,-22.156
0.385,1.24,0.165,36.072,-51.086,-10.864
0.356,1.128,0.175,27.71,-54.993,-3.235
0.334,1.062,0.135,16.602,-58.899,-0.366
0.3,1.045,0.147,5.188,-58.289,-5.737
0.24,1.2,0.19,-4.761,-55.298,-17.456
0.25,1.11,0.155,-10.193,-55.542,-22.339
0.232,1.145,0.109,-16.479,-53.772,-32.715
0.18,1.212,0.074,-24.353,-50.842,-43.884
0.17,1.253,0.042,-32.654,-47.424,-51.147
0.212,1.163,-0.022,-39.734,-45.654,-52.917
0.26,1.177,-0.035,-48.157,-43.457,-58.105
0.251,1.192,-0.047,-53.65,-42.297,-65.308
0.253,1.224,-0.069,-55.969,-41.138,-69.214
0.271,1.238,-0.078,-54.504,-36.682,-68.481
0.278,1.246,-0.09,-49.5,-29.602,-66.711
0.3,1.218,-0.101,-41.504,-19.226,-65.979
0.322,1.164,-0.112,-33.569,-7.568,-65.796
0.366,1.165,-0.099,-28.198,4.272,-67.261
0.413,1.199,-0.069,-24.719,13.245,-68.115
0.434,1.203,-0.041,-21.484,17.212,-65.918
0.45,1.183,-0.027,-19.836,16.724,-60.73
0.467,1.145,-0.025,-19.836,12.329,-54.199
0.482,1.094,-0.047,-22.217,4.028,-47.729
0.449,1.054,-0.089,-26.611,-6.348,-43.518
0.401,1.038,-0.14,-32.227,-16.113,-41.748
0.361,1.035,-0.183,-36.316,-22.827,-42.48
1.062,2.045,-0.102,-27.771,-33.936,25.33
1.19,2.326,-0.117,-26.306,-34.851,28.259
1.338,2.615,-0.124,-23.499,-33.875,32.837
1.461,2.905,-0.132,-19.165,-32.043,39.246
1.571,3.2,-0.122,-14.221,-29.175,48.035
1.663,3.472,-0.122,-10.254,-25.635,60.486
1.722,3.708,-0.109,-8.118,-22.705,74.097
1.762,3.854,-0.091,-6.531,-19.592,85.999
1.74,3.902,-0.092,-6.226,-17.517,93.14
1.692,3.826,-0.106,-7.69,-15.93,94.238
1.664,3.713,-0.124,-10.986,-12.39,89.905
1.561,3.518,-0.146,-17.029,-7.263,82.458
1.456,3.342,-0.18,-23.682,-1.343,75.378
1.345,3.128,-0.205,-29.846,6.348,74.463
1.188,2.859,-0.284,-36.316,12.939,82.214
1.06,2.626,-0.364,-45.166,20.081,91.003
0.873,2.31,-0.44,-51.392,30.09,95.337
0.68,1.969,-0.537,-55.908,43.518,91.919
0.488,1.729,-0.592,-60.12,63.293,81.238
0.357,1.539,-0.576,-60.364,85.938,71.472
0.327,1.326,-0.531,-52.979,104.126,64.575
0.321,1.06,-0.487,-37.048,113.647,56.274
0.289,0.863,-0.414,-17.517,114.929,43.945
0.246,0.728,-0.345,4.272,108.582,31.921
0.225,0.646,-0.298,27.527,96.497,24.475
0.209,0.448,-0.266,49.072,82.886,23.682
0.264,0.454,-0.07,67.017,67.261,21.912
0.292,0.228,-0.091,82.275,40.283,24.231
0.196,0.175,-0.088,88.562,13.55,22.034
0.077,0.11,-0.052,89.355,-7.568,23.132
0.006,0.031,-0.032,86.426,-25.146,25.208
-0.051,-0.124,-0.058,81.848,-39.49,30.884
-0.156,-0.31,-0.097,72.754,-45.41,34.241
-0.247,-0.432,-0.119,59.814,-42.969,32.898
-0.302,-0.543,-0.145,45.715,-33.081,29.602
-0.323,-0.631,-0.153,33.02,-17.639,24.231
-0.323,-0.719,-0.156,24.353,1.282,15.503
-0.313,-0.809,-0.165,17.212,21.484,4.211
-0.302,-0.886,-0.188,10.01,41.199,-10.071
-0.268,-0.938,-0.202,2.625,60.913,-25.696
-0.206,-0.987,-0.208,-5.615,77.637,-40.466
-0.086,-1.03,-0.166,-12.146,89.661,-54.871
0.079,-1.081,-0.094,-16.785,93.079,-68.359
0.228,-1.12,-0.029,-18.921,85.449,-82.031
0.361,-1.16,0.016,-18.982,67.444,-95.825
0.46,-1.166,0.029,-18.433,39.795,-105.835
0.554,-1.166,0.03,-18.066,6.653,-108.154
0.646,-1.149,0.034,-17.7,-31.494,-103.21
0.793,-1.183,0.03,-14.954,-119.019,-81.421
0.883,-1.122,0.049,-9.766,-161.987,-73.303
0.951,-1.023,0.038,-0.977,-206.482,-64.758
0.973,-0.928,0.005,10.315,-248.596,-54.199
0.901,-0.843,-0.044,22.644,-285.889,-39.612
0.777,-0.787,-0.082,33.081,-313.904,-21.973
0.627,-0.776,-0.109,40.161,-329.041,-3.235
0.312,-0.726,-0.159,40.833,-329.59,15.137
-0.107,-0.66,-0.188,33.63,-310.242,32.593
-0.427,-0.544,-0.149,18.921,-267.09,49.377
