aX,aY,aZ,gX,gY,gZ
0.358,-0.653,0.411,-8.118,12.573,30.457
-1.836,-0.385,-0.777,107.3,-183.289,-81.665
-2.181,-0.585,-0.659,148.437,-166.565,-127.93
-2.473,-0.912,-0.539,193.787,-144.531,-178.772
-2.563,-1.371,-0.409,238.22,-115.173,-236.084
-2.57,-1.925,-0.314,276.001,-79.041,-299.561
-2.462,-2.446,-0.223,297.241,-38.086,-365.051
-2.132,-2.913,-0.102,298.95,2.991,-424.011
-1.638,-3.259,0.069,283.447,40.649,-470.215
-1.09,-3.543,0.266,256.531,66.345,-502.563
-0.527,-3.766,0.424,221.313,76.416,-523.01
0.075,-3.909,0.611,178.406,72.388,-530.762
0.761,-4.0,0.818,130.92,53.04,-521.79
1.363,-3.966,0.903,79.773,19.287,-497.009
1.75,-3.55,1.04,37.964,-27.649,-473.022
1.722,-3.154,1.139,27.588,-83.435,-457.031
1.442,-3.013,1.088,45.532,-132.507,-454.651
1.127,-3.116,0.935,77.393,-153.259,-471.497
0.895,-3.3,0.875,110.84,-134.338,-504.517
1.035,-3.684,0.952,134.155,-91.797,-534.668
1.531,-4.0,0.958,134.705,-50.781,-544.067
2.23,-4.0,1.05,105.164,-20.081,-527.466
2.675,-4.0,1.024,62.134,-19.104,-502.502
2.789,-3.864,0.939,27.1,-37.17,-472.29
2.782,-3.972,1.173,5.31,-49.683,-424.316
2.656,-3.708,1.025,0.977,-57.312,-386.719
2.087,-3.254,0.696,16.235,-65.491,-398.132
2.345,-2.471,0.668,40.894,-59.204,-382.385
1.72,-2.764,0.644,71.289,-43.091,-357.361
2.193,-2.786,0.639,63.049,-27.527,-363.037
1.706,-1.523,0.208,48.34,4.7,-332.397
1.947,-1.846,0.192,61.523,64.88,-305.786
1.733,-1.323,0.215,52.429,113.647,-275.085
1.581,-1.203,0.149,44.434,154.724,-245.972
1.665,-1.238,0.146,48.34,195.496,-206.604
1.606,-1.049,0.261,51.025,224.182,-166.87
1.523,-0.97,0.344,55.359,231.201,-115.479
1.449,-0.865,0.392,60.242,220.398,-58.716
1.355,-0.936,0.448,66.101,201.965,-6.104
1.146,-0.983,0.494,69.153,173.34,33.997
1.033,-0.992,0.536,67.139,140.625,61.707
0.861,-1.013,0.584,64.392,107.3,81.97
0.615,-0.994,0.604,60.364,74.402,92.957
0.346,-1.042,0.58,55.237,47.241,98.633
0.138,-1.037,0.545,47.18,29.236,101.074
-0.026,-1.035,0.54,34.546,21.484,101.99
-0.133,-1.064,0.532,19.775,18.921,97.839
-0.176,-1.061,0.547,4.089,21.729,86.609
-0.214,-1.019,0.539,-10.01,27.832,70.984
-0.268,-0.989,0.499,-22.583,35.278,55.908
-0.3,-0.942,0.453,-34.18,44.373,44.861
-0.318,-0.921,0.413,-44.312,54.871,38.635
-0.298,-0.924,0.385,-51.514,66.345,34.485
-0.276,-0.913,0.393,-54.81,78.003,28.748
-0.266,-0.917,0.386,-55.603,87.341,22.949
-0.223,-0.964,0.373,-54.077,95.52,16.418
-0.198,-0.966,0.378,-50.842,102.905,8.545
-0.183,-0.953,0.384,-47.546,108.704,2.563
-0.165,-0.965,0.379,-43.335,111.511,-0.183
-0.177,-0.98,0.376,-39.429,112.976,-1.221
-0.182,-1.022,0.377,-35.95,114.502,-1.526
-0.178,-1.066,0.394,-33.813,116.76,-1.953
-0.187,-1.092,0.433,-34.729,120.239,-1.099
-0.152,-1.146,0.443,-40.405,123.413,2.747
-0.101,-1.161,0.474,-51.941,126.404,7.019
-0.066,-1.131,0.502,-65.857,127.563,9.705
-0.026,-1.085,0.516,-78.674,124.634,12.329
0.018,-1.063,0.51,-89.355,118.103,15.442
0.07,-1.035,0.499,-96.252,109.558,17.578
0.131,-1.004,0.47,-98.755,99.121,20.081
0.166,-0.986,0.437,-96.68,87.341,23.804
0.138,-0.945,0.377,-91.37,75.073,27.527
0.128,-0.874,0.352,-83.618,66.65,32.532
0.165,-0.876,0.316,-72.388,60.364,42.847
0.148,-0.889,0.291,-60.486,53.223,52.307
0.145,-0.864,0.276,-49.805,48.34,58.96
0.19,-0.891,0.28,-37.903,42.786,63.171
0.128,-0.947,0.279,-28.259,37.842,63.171
0.094,-0.949,0.3,-24.292,38.086,58.411
0.075,-0.998,0.34,-22.827,43.274,53.955
-0.044,-1.001,0.328,-26.001,50.476,44.556
-0.116,-0.975,0.327,-31.006,69.702,30.64
-0.037,-0.933,0.347,-33.386,99.06,18.188
0.057,-0.946,0.358,-32.715,124.939,11.719
0.117,-0.997,0.352,-33.264,143.799,10.437
0.238,-0.986,0.415,-36.987,158.813,12.085
0.348,-0.93,0.451,-41.016,165.833,18.005
0.425,-0.944,0.474,-43.213,162.781,25.696
0.489,-0.938,0.498,-46.509,155.212,33.936
0.47,-0.933,0.488,-49.683,141.357,40.222
0.411,-0.934,0.472,-52.917,125.549,42.725
0.4,-0.921,0.451,-56.213,113.77,42.908
0.377,-0.885,0.423,-58.228,102.6,43.091
0.323,-0.87,0.399,-58.044,90.515,43.091
0.298,-0.847,0.389,-56.519,82.275,41.748
0.336,-0.793,0.393,-53.711,78.369,40.771
0.383,-0.774,0.39,-47.729,73.303,42.175
0.398,-0.782,0.391,-40.283,65.308,44.067
0.358,-0.783,0.381,-33.508,56.58,45.471
0.363,-0.784,0.389,-27.1,51.208,47.363
0.401,-0.777,0.42,-21.118,48.401,48.706
0.421,-0.792,0.457,-15.747,45.288,47.485
0.444,-0.81,0.476,-11.658,40.466,44.434
0.463,-0.825,0.484,-8.911,33.875,42.48
0.453,-0.826,0.489,-8.057,27.039,42.664
0.436,-0.826,0.498,-9.094,21.24,43.945
0.436,-0.826,0.504,-12.451,17.456,45.227
0.426,-0.838,0.493,-16.907,14.221,45.593
0.386,-0.842,0.471,-22.278,11.78,44.739
0.346,-0.822,0.472,-28.137,13.245,42.847
0.34,-0.798,0.474,-33.447,18.25,40.771
0.369,-0.776,0.484,-36.682,24.353,38.513
0.407,-0.756,0.488,-38.086,28.87,35.767
0.432,-0.744,0.476,-37.659,29.846,33.02
0.437,-0.738,0.467,-35.706,29.053,30.396
0.437,-0.732,0.458,-33.691,28.259,27.893
0.452,-0.733,0.445,-31.738,28.32,25.757
0.475,-0.74,0.436,-29.968,28.259,24.414
0.489,-0.748,0.432,-28.809,27.222,23.621
0.511,-0.765,0.431,-27.71,25.024,23.499
-1.681,-1.259,-1.516,61.34,-119.812,143.311
-2.44,-1.395,-1.632,89.478,-120.3,129.456
-2.997,-1.197,-1.562,140.747,-123.413,79.834
-3.509,-1.33,-1.485,233.337,-129.883,-15.198
-3.941,-1.895,-1.523,348.511,-146.545,-150.146
-3.974,-2.65,-1.429,454.407,-165.649,-294.373
-3.817,-3.345,-1.182,522.949,-171.387,-413.33
-3.519,-3.942,-0.938,556.091,-165.405,-494.141
-2.985,-4.0,-0.709,570.312,-149.658,-539.795
-2.354,-4.0,-0.392,578.43,-124.207,-567.2
-1.701,-4.0,-0.148,592.224,-91.675,-588.928
-0.925,-4.0,0.071,611.328,-54.321,-608.948
0.303,-4.0,0.489,614.99,-13.611,-613.098
1.497,-4.0,1.144,570.74,21.484,-577.759
2.233,-4.0,1.74,471.558,11.047,-521.118
2.926,-4.0,1.865,359.497,-36.438,-446.106
3.398,-4.0,1.81,255.31,-78.735,-375.244
2.937,-4.0,1.823,156.433,-93.262,-328.064
2.354,-3.409,1.885,75.989,-72.571,-289.124
2.04,-2.913,1.945,25.269,-26.184,-253.784
1.832,-2.438,1.827,-10.071,32.776,-233.826
1.742,-2.169,1.601,-25.269,86.06,-231.75
1.732,-2.021,1.458,-25.696,124.207,-241.516
1.762,-1.965,1.332,-18.555,145.752,-249.817
1.833,-1.867,1.222,-9.399,149.719,-256.531
1.688,-1.789,1.035,-0.549,141.785,-263.794
1.496,-1.71,0.888,4.211,136.414,-272.4
1.37,-1.642,0.719,3.113,140.93,-276.245
1.241,-1.6,0.542,-1.953,155.64,-277.405
1.192,-1.609,0.412,-9.46,179.199,-278.564
1.137,-1.566,0.348,-21.24,205.2,-279.724
1.216,-1.471,0.321,-34.058,224.365,-276.184
1.214,-1.335,0.268,-43.152,232.91,-267.944
1.245,-1.213,0.206,-47.913,236.572,-252.258
1.303,-0.964,0.203,-46.57,225.464,-226.868
1.356,-0.926,0.252,-36.377,199.951,-190.491
1.253,-0.884,0.213,-22.156,160.095,-162.231
1.143,-0.914,0.187,-3.845,122.742,-135.315
1.101,-0.818,0.247,15.259,92.346,-112.671
0.962,-0.875,0.246,34.668,62.134,-94.666
0.773,-0.805,0.206,50.659,37.476,-80.444
0.628,-0.898,0.087,61.157,20.996,-58.96
0.551,-0.948,0.129,65.613,15.686,-43.274
0.45,-0.893,0.1,66.895,13.184,-32.41
0.398,-0.943,0.14,70.19,16.541,-20.142
0.393,-0.871,0.222,71.411,18.738,-9.094
0.393,-0.88,0.248,74.341,16.724,6.042
0.351,-0.949,0.259,77.637,12.085,20.752
0.299,-1.007,0.261,80.017,6.165,31.86
0.245,-1.005,0.295,81.299,-0.427,36.743
0.206,-1.018,0.325,80.017,-6.348,41.87
0.205,-1.077,0.322,76.843,-17.395,49.377
0.12,-1.128,0.287,70.557,-26.733,54.688
0.004,-1.149,0.285,61.89,-30.396,57.678
-0.069,-1.17,0.288,51.697,-30.701,60.425
-0.1,-1.172,0.258,38.696,-30.212,61.646
-0.13,-1.172,0.248,24.658,-25.94,62.378
-0.189,-1.175,0.187,11.475,-19.165,61.523
-0.2,-1.169,0.227,1.343,-8.667,58.228
-0.172,-1.2,0.184,-6.47,0.61,53.162
-0.153,-1.134,0.192,-13.245,11.292,44.922
-0.141,-1.096,0.186,-18.86,20.508,40.588
-0.158,-1.067,0.147,-23.804,28.625,38.94
-0.163,-1.046,0.15,-27.161,37.903,40.039
-0.142,-1.04,0.13,-29.785,45.959,42.786
-0.123,-1.035,0.122,-32.104,53.528,44.922
-0.119,-1.041,0.113,-34.18,59.57,46.814
-0.094,-1.037,0.124,-35.156,64.026,47.729
-0.038,-1.042,0.128,-35.095,66.162,47.974
0.014,-1.053,0.141,-33.691,66.162,46.387
0.02,-1.024,0.159,-31.067,63.782,43.335
0.013,-0.999,0.182,-27.039,58.838,42.48
0.022,-0.988,0.195,-22.888,50.781,44.006
-0.008,-0.989,0.185,-18.86,41.992,46.57
-0.05,-0.986,0.184,-16.052,34.363,49.438
-0.066,-1.02,0.182,-14.221,28.259,51.941
-0.072,-1.053,0.178,-13.245,23.376,51.575
-0.056,-1.083,0.178,-13.0,20.63,47.974
-0.013,-1.096,0.18,-13.123,18.25,41.26
0.032,-1.1,0.181,-13.367,15.747,33.142
0.078,-1.095,0.186,-13.794,12.817,25.574
0.117,-1.084,0.182,-14.221,8.667,19.714
0.147,-1.072,0.177,-14.465,3.845,16.479
0.123,-1.041,0.169,-14.404,-0.793,15.686
0.087,-1.028,0.157,-14.709,-4.761,18.799
0.084,-1.038,0.139,-16.235,-7.263,24.78
0.089,-1.046,0.134,-18.127,-6.714,30.884
0.092,-1.058,0.137,-19.714,-5.066,36.499
0.099,-1.061,0.138,-20.569,-2.625,40.527
0.118,-1.062,0.142,-20.264,0.671,42.236
0.149,-1.063,0.151,-18.738,5.005,41.992
0.175,-1.072,0.152,-16.907,9.766,40.466
0.207,-1.073,0.156,-15.503,14.16,38.757
0.241,-1.07,0.164,-14.526,17.273,37.292
0.275,-1.068,0.17,-13.977,19.348,37.231
0.297,-1.07,0.172,-14.343,19.836,39.001
0.31,-1.066,0.171,-15.686,18.616,42.542
0.319,-1.067,0.172,-17.395,16.418,47.607
0.332,-1.073,0.175,-19.714,13.733,52.734
0.333,-1.078,0.177,-21.179,11.353,57.068
0.324,-1.073,0.173,-22.156,9.277,60.425
0.325,-1.07,0.177,-22.705,7.996,63.049
0.331,-1.067,0.182,-22.766,7.202,65.002
0.342,-1.064,0.19,-22.644,6.775,66.956
0.354,-1.056,0.194,-22.034,6.287,68.604
0.364,-1.052,0.199,-21.606,5.615,70.129
0.378,-1.051,0.207,-20.874,4.822,71.899
0.389,-1.051,0.215,-20.264,3.662,74.036
